#{"t_start": 1731203105.9239593, "env_id": "LunarLander-v2"}
r,l,t
142.439364,711,399.521044
188.794955,549,401.201218
79.242537,908,404.46857
162.487134,569,406.450111
17.528343,340,407.462618
144.156665,938,410.76745
144.774543,616,412.802421
172.490511,492,415.053662
161.656337,457,415.506963
192.992969,509,416.087566
232.101713,602,416.669453
94.06928,1000,417.565473
-4.61364,1000,421.150278
190.266116,902,424.496378
206.110302,519,426.188171
222.753815,714,428.467843
245.744912,562,430.247254
235.945288,703,432.586947
217.672111,637,435.045204
268.56297,646,437.119278
197.726644,559,438.909506
9.433162,1000,442.695938
165.683543,822,445.453231
266.46976,389,446.658721
268.076016,418,447.866135
169.077535,741,450.517745
275.723306,431,452.167691
240.338068,338,452.455611
210.971781,365,452.722122
-10.715184,321,452.915678
146.803729,1000,453.716859
216.757143,465,455.177128
184.151696,775,457.747716
186.170252,949,461.015512
238.200366,578,462.836819
189.242857,585,464.809481
96.595543,1000,467.837409
266.536745,362,468.877035
-50.051432,295,469.709418
-3.872002,304,470.614539
226.416685,521,472.243794
188.565026,443,473.616818
259.243785,347,474.625242
260.330441,374,475.692039
221.982174,403,476.977263
238.597221,442,478.31761
238.283416,398,479.539569
193.91323,356,480.56606
197.321458,398,481.717034
227.637109,424,483.036396
48.587668,478,484.433703
196.122904,352,485.000008
246.117973,559,485.444318
264.056057,342,485.676337
231.328663,446,486.082935
91.535177,1000,486.998768
214.323514,420,488.294681
212.96321,682,490.442513
255.297834,359,491.517775
182.487942,381,492.627627
304.895467,309,493.494845
290.220293,342,494.500705
199.066661,424,495.799805
198.926172,809,498.420131
281.518801,380,499.524232
242.923583,726,501.855874
285.178505,431,503.117987
227.593632,324,504.078838
260.231418,303,504.996657
267.134555,405,506.212941
238.363,511,507.828467
211.215106,461,509.281096
248.698197,355,510.288317
219.97245,386,511.445201
274.504923,361,512.483841
285.230378,344,513.451613
245.625853,372,514.552174
237.554225,774,517.026645
241.544549,331,517.73722
212.706308,510,518.26144
176.540313,767,518.942836
243.238524,407,519.260705
215.609259,455,519.664687
160.883658,776,522.421492
264.632309,371,523.536377
208.256785,503,525.016986
217.82796,340,526.022754
278.916849,344,527.037236
225.526823,357,528.118841
273.863894,294,529.030571
252.095848,329,529.982113
244.910647,399,531.162312
252.360303,424,532.418401
307.722289,277,533.23163
244.859738,301,534.092631
120.869194,1000,537.334595
242.530208,342,538.377884
8.317296,175,538.881401
252.288901,632,541.046627
-74.694541,157,541.498317
28.474205,351,542.532089
145.285105,487,544.165329
258.462049,479,545.620775
225.603255,319,546.615319
254.034078,413,547.944528
221.946479,390,549.174811
245.609156,469,550.7329
228.323847,367,551.197286
-30.199557,220,551.326969
18.257312,213,551.449097
8.583197,227,551.58594
-24.987269,1000,552.424897
198.81618,569,554.163006
160.732751,307,555.086068
187.213103,837,557.792227
22.916706,197,558.356573
235.353343,298,559.258524
220.300445,397,560.440089
198.490139,559,562.172666
89.291305,1000,565.670512
-33.38408,244,566.386848
30.316988,328,567.331859
180.439921,466,568.678863
220.676394,334,569.654659
6.632816,334,570.612967
234.541647,390,571.76549
-48.301565,1000,575.257603
214.153509,767,578.008838
153.265998,821,580.695573
199.9147,541,582.47021
-67.134815,163,582.931602
153.092762,696,585.041116
-51.185068,1000,586.056114
-85.881494,1000,587.343046
-63.813812,1000,588.439073
195.233526,400,588.774535
192.458848,567,590.567037
105.602243,888,593.447168
-42.384362,1000,596.769236
-55.658781,698,598.926089
206.697432,698,601.176947
-67.251158,1000,604.568286
92.36632,929,607.727245
-51.690669,1000,611.004442
266.186688,322,611.942232
-51.187812,1000,615.068033
2.509501,1000,618.281369
135.699001,751,620.655343
-49.6537,1000,622.242029
207.596772,583,622.739305
-16.141035,1000,624.184855
94.117562,1000,625.475382
-43.489631,1000,626.456757
133.634421,763,628.832444
40.406554,1000,631.969598
201.561013,541,633.675273
206.349913,671,636.025394
234.363224,457,637.454581
133.579918,677,639.550308
249.035846,325,640.492374
